Transaction_ID,Date,Sales_Rep,Branch_Code,Region,Product,Lead_Source,Customer_Segment,Customer_Age,Account_Tenure_Months,Revenue,Processing_Fee,Discount_Applied,Target_Achieved,CSAT_Score
TRX-10000,07-03-26 0:00,Jamie,BR-006,East,Wealth Management,Walk-in,Retail,74,16,25114.07,350.3,179.26,No,4
TRX-10001,16-12-25 0:00,Morgan,BR-015,South,Personal Loan,Website,High Net Worth,28,28,9331.6,106.51,121.35,Yes,5
TRX-10002,17-08-25 0:00,Casey,BR-001,East,Auto Loan,Social Media,High Net Worth,44,112,5853.67,394.49,136.7,Yes,5
TRX-10003,24-12-25 0:00,Jamie,BR-009,Central,Mortgage,Website,Retail,35,35,42184.29,144.59,141.15,Yes,5
TRX-10004,19-11-25 0:00,Taylor,BR-001,South,Auto Loan,Website,High Net Worth,63,60,30899.59,195.55,246.26,No,1
TRX-10005,28-05-26 0:00,Drew,BR-005,West,Mortgage,Walk-in,High Net Worth,51,45,16628.32,418.66,70.9,No,5
TRX-10006,20-04-26 0:00,Casey,BR-004,East,Mortgage,Website,Retail,29,46,9990.94,291.44,132.27,Yes,4
TRX-10007,23-07-26 0:00,Casey,BR-013,South,Auto Loan,Walk-in,Retail,59,72,27997.12,436.97,78.4,Yes,2
TRX-10008,13-02-26 0:00,Jamie,BR-012,East,Mortgage,Social Media,Corporate,65,108,29404,145.87,73.74,No,5
TRX-10009,27-07-26 0:00,Jordan,BR-013,South,Mortgage,Email Campaign,SME,22,55,10746.18,323.5,138.01,Yes,2
TRX-10010,15-10-25 0:00,Taylor,BR-013,North,Personal Loan,Walk-in,SME,28,119,42644.58,87.71,77.44,Yes,4
TRX-10011,30-06-26 0:00,Jamie,BR-014,East,Wealth Management,Social Media,Retail,27,86,4671.09,339.38,69.22,Yes,5
TRX-10012,23-02-26 0:00,Taylor,BR-003,West,Wealth Management,Email Campaign,Retail,64,85,18126.61,393.14,167.18,No,1
TRX-10013,27-09-25 0:00,Taylor,BR-013,West,Personal Loan,Referral,High Net Worth,71,26,34179.03,313.22,30.39,Yes,1
TRX-10014,25-04-26 0:00,Drew,BR-006,Central,Auto Loan,Walk-in,Corporate,59,104,14068.96,169.8,135.18,No,2
TRX-10015,05-07-26 0:00,Casey,BR-002,South,Credit Card,Walk-in,Corporate,62,85,41469.92,64.1,49.75,Yes,1
TRX-10016,07-01-26 0:00,Morgan,BR-003,East,Credit Card,Referral,Retail,36,25,37123.46,103.75,3.1,No,1
TRX-10017,27-11-25 0:00,Drew,BR-005,Central,Credit Card,Referral,High Net Worth,55,105,39556.63,330.04,50.03,No,1
TRX-10018,24-05-26 0:00,Drew,BR-015,East,Personal Loan,Walk-in,High Net Worth,50,65,6395.77,470.49,182,Yes,4
TRX-10019,21-12-25 0:00,Taylor,BR-009,South,Personal Loan,Referral,SME,30,6,7457.08,142.94,141.83,Yes,1
